"SIIIR","Denumire","Categorie","SIRUTA","Localitate","Judet"
"2461100573","LICEUL TEHNOLOGIC ""GRIGORE C MOISIL"" TARGU LAPUS","Liceu tehnologic / Școală profesională",106826,"TÂRGU LĂPUŞ","MM"
"2461100908","LICEUL TEHNOLOGIC ""DR. FLORIAN ULMEANU"" ULMENI","Liceu tehnologic / Școală profesională",109274,"ULMENI","MM"
"2461100614","CENTRUL SCOLAR DE EDUCATIE INCLUZIVA VISEU DE SUS","Centru special de educație incluzivă",106988,"VIŞEU DE SUS","MM"
"2461101122","LICEUL TEHNOLOGIC VISEU DE SUS","Liceu tehnologic / Școală profesională",106988,"VIŞEU DE SUS","MM"
"2461101217","SCOALA PROFESIONALA VISEU DE SUS","Liceu tehnologic / Școală profesională",106988,"VIŞEU DE SUS","MM"
"2661104479","ȘCOALA GIMNAZIALĂ BAHNEA","Școală gimnazială",115316,"BAHNEA","MS"
"2661105168","ȘCOALA PROFESIONALĂ BAND","Școală profesională / Învățământ dual",115398,"BAND","MS"
"2661108266","LICEUL TEHNOLOGIC ""VASILE NETEA"" DEDA","Liceu tehnologic / Școală profesională",116554,"DEDA","MS"
"2661104886","LICEUL SILVIC GURGHIU","Liceu",117328,"GURGHIU","MS"
"2661100032","LICEUL TEHNOLOGIC IERNUT","Liceu tehnologic / Școală profesională",117836,"IERNUT","MS"
"2661104262","LICEUL TEHNOLOGIC NR.1 LUDUȘ","Liceu tehnologic / Școală profesională",114729,"LUDUŞ","MS"
"2661105037","LICEUL TEORETIC ""BOCSKAI ISTVAN"" MIERCUREA NIRAJULUI","Liceu",118290,"MIERCUREA NIRAJULUI","MS"
"2661104235","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR. 3 REGHIN","Centru special de educație incluzivă",114818,"REGHIN","MS"
"2661104384","LICEUL TEHNOLOGIC ""IOAN BOJOR"" REGHIN","Liceu tehnologic / Școală profesională",114818,"REGHIN","MS"
"2661104018","LICEUL TEHNOLOGIC ""LUCIAN BLAGA"" REGHIN","Liceu tehnologic / Școală profesională",114818,"REGHIN","MS"
"2661105218","LICEUL TEHNOLOGIC ""PETRU MAIOR"" REGHIN","Liceu tehnologic / Școală profesională",114818,"REGHIN","MS"
"2661108397","ȘCOALA GIMNAZIALĂ NR.04 APALINA REGHIN","Școală gimnazială",114818,"REGHIN","MS"
"2661104791","LICEUL TEORETIC ""SAMUIL MICU"" SĂRMAȘU","Liceu",119251,"SARMAŞU","MS"
"2661100014","LICEUL TEHNOLOGIC ""SFÂNTUL GHEORGHE"" SÂNGEORGIU DE PĂDURE","Liceu tehnologic / Școală profesională",119340,"SÂNGEORGIU DE PĂDURE","MS"
"2661105132","LICEUL TEHNOLOGIC NR.1 SIGHIȘOARA","Liceu tehnologic / Școală profesională",114523,"SIGHIŞOARA","MS"
"2661105209","LICEUL TEHNOLOGIC ""DOMOKOS KAZMER"" SOVATA","Liceu tehnologic / Școală profesională",114863,"SOVATA","MS"
"2661108248","LICEUL TEHNOLOGIC TÂRNĂVENI","Liceu",114934,"TÂRNĂVENI","MS"
"2661105385","COLEGIUL AGRICOL ""TRAIAN SĂVULESCU"" TÎRGU MUREȘ","Colegiu",114328,"TÎRGU MUREŞ","MS"
"2661104651","COLEGIUL ECONOMIC ""TRANSILVANIA"" TÎRGU MUREȘ","Liceu tehnologic / Școală profesională",114328,"TÎRGU MUREŞ","MS"
"2661108171","LICEUL TEHNOLOGIC ""AUREL PERSU"" TÎRGU MUREȘ","Liceu",114328,"TÎRGU MUREŞ","MS"
"2661104529","LICEUL TEHNOLOGIC ""AVRAM IANCU"" TÎRGU MUREȘ","Liceu",114328,"TÎRGU MUREŞ","MS"
"2661105394","LICEUL TEHNOLOGIC ""ELECTROMUREȘ"" TÎRGU MUREȘ","Liceu",114328,"TÎRGU MUREŞ","MS"
"2661105263","LICEUL TEHNOLOGIC ""GHEORGHE ȘINCAI"" TÎRGU MUREȘ","Liceu",114328,"TÎRGU MUREŞ","MS"
"2661105444","LICEUL TEHNOLOGIC ""ION VLASIU"" TÎRGU MUREȘ","Liceu tehnologic / Școală profesională",114328,"TÎRGU MUREŞ","MS"
"2661108144","LICEUL TEHNOLOGIC ""TRAIAN VUIA"" TÎRGU MUREȘ","Liceu tehnologic / Școală profesională",114328,"TÎRGU MUREŞ","MS"
"2761102367","ȘCOALA PROFESIONALĂ ADJUDENI, COMUNA TAMĂȘENI","Școală profesională / Învățământ dual",124652,"ADJUDENI","NT"
"2761102982","LICEUL ""CAROL I"", ORAȘ BICAZ","Liceu",120977,"BICAZ","NT"
"2761102738","LICEUL ""MIHAIL SADOVEANU"", COMUNA BORCA","Liceu",121661,"BORCA","NT"
"2761102937","ȘCOALA GIMNAZIALĂ, COMUNA DĂMUC","Școală gimnazială",122258,"DĂMUC","NT"
"2761102186","LICEUL TEHNOLOGIC ""ION IONESCU DE LA BRAD"", COMUNA HORIA","Liceu tehnologic / Școală profesională",120931,"HORIA","NT"
"2761102616","LICEUL TEHNOLOGIC NISIPOREȘTI, COMUNA BOTEȘTI","Liceu tehnologic / Școală profesională",121858,"NISIPOREŞTI","NT"
"2761101737","ȘCOALA PROFESIONALĂ OGLINZI, COMUNA RĂUCEȘTI","Liceu tehnologic / Școală profesională",123932,"OGLINZI","NT"
"2761102792","ȘCOALA PROFESIONALĂ, COMUNA PETRICANI","Liceu tehnologic / Școală profesională",123433,"PETRICANI","NT"
"2761101687","COLEGIUL TEHNIC DE TRANSPORTURI, MUNICIPIUL PIATRA-NEAMȚ","Colegiu",120735,"PIATRA-NEAMŢ","NT"
"2761102729","COLEGIUL TEHNIC FORESTIER, MUNICIPIUL PIATRA-NEAMȚ","Colegiu",120735,"PIATRA-NEAMŢ","NT"
"2761102313","COLEGIUL TEHNIC ""GHEORGHE CARTIANU"", MUNICIPIUL PIATRA-NEAMȚ","Colegiu",120735,"PIATRA-NEAMŢ","NT"
"2761100148","COLEGIUL TEHNOLOGIC ""SPIRU HARET"", MUNICIPIUL PIATRA-NEAMȚ","Colegiu",120735,"PIATRA-NEAMŢ","NT"
"2761102702","LICEUL ECONOMIC ""ALEXANDRU IOAN CUZA"", MUNICIPIUL PIATRA-NEAMȚ","Liceu tehnologic / Școală profesională",120735,"PIATRA-NEAMŢ","NT"
"2761101633","LICEUL TEHNOLOGIC ""DIMITRIE LEONIDA"", MUNICIPIUL PIATRA-NEAMȚ","Liceu tehnologic / Școală profesională",120735,"PIATRA-NEAMŢ","NT"
"2761102019","LICEUL TEHNOLOGIC ""ION CREANGĂ"", COMUNA PIPIRIG","Liceu tehnologic / Școală profesională",123530,"PIPIRIG","NT"
