"siiir","denumire","categorie","siruta","localitate","judet"
"0761105407","LICEUL TEHNOLOGIC ""AL.VLAHUTA"" SENDRICENI","Liceu tehnologic / Școală profesională","39131","ŞENDRICENI","BT"
"0761104926","LICEUL""STEFAN D. LUCHIAN’’ STEFANESTI","Liceu","39177","ŞTEFĂNEŞTI","BT"
"0761104365","LICEUL TEHNOLOGIC TODIRENI","Liceu tehnologic / Școală profesională","39275","TODIRENI","BT"
"0761105235","LICEUL ""DEMOSTENE BOTEZ"" TRUŞEŞTI","Liceu","39337","TRUŞEŞTI","BT"
"0761105312","LICEUL TEHNOLOGIC ""STEFAN CEL MARE SI SFANT"" VORONA","Liceu tehnologic / Școală profesională","39881","VORONA","BT"
"0861100509","Liceul 'Sextil Pușcariu' Bran","Liceu","40642","BRAN","BV"
"0861101026","Colegiul de Științe ale Naturii 'Emil Racoviță' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861101695","Colegiul de Științe 'Grigore Antipa' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861101216","Colegiul Național 'Andrei Șaguna' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861100934","Colegiul Național 'Aprily Lajos' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861101971","Colegiul Național de Informatică 'Gr. Moisil' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861100907","Colegiul Național 'Dr. Ioan Meșotă' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861100979","Colegiul Național Economic 'Andrei Bârseanu' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861101501","Colegiul Național 'Johannes Honterus' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861102036","Colegiul Național 'Unirea' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861100382","Colegiul 'Nicolae Titulescu' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861100735","Colegiul Tehnic de Transporturi Brașov","Liceu tehnologic / Școală profesională","40205","BRAŞOV","BV"
"0861100581","Colegiul Tehnic Energetic 'Remus Răduleț' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861101953","Colegiul Tehnic 'Maria Baiulescu' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861101831","Colegiul Tehnic 'Mircea Cristea' Brașov","Colegiu","40205","BRAŞOV","BV"
"0861100495","Colegiul Tehnic 'Transilvania' Brașov","Liceu tehnologic / Școală profesională","40205","BRAŞOV","BV"
"0861101098","Liceul 'Andrei Mureșanu' Brașov","Liceu","40205","BRAŞOV","BV"
"0861100685","Liceul cu Program Sportiv Brașov","Liceu","40205","BRAŞOV","BV"
"0861100866","Liceul Tehnologic Silvic 'Dr. Nicolae Rucăreanu' Brașov","Liceu","40205","BRAŞOV","BV"
"0861100034","Liceul Vocațional de Arte Plastice 'Hans Mattis-Teutsch' Brașov","Liceu","40205","BRAŞOV","BV"
"0861101763","Liceul Vocațional de Muzică 'Tudor Ciortea' Brașov","Liceu","40205","BRAŞOV","BV"
"0861101338","Colegiul Tehnic 'Simion Mehedinți' Codlea","Liceu tehnologic / Școală profesională","40250","CODLEA","BV"
"0861101804","Liceul Teoretic 'Ioan Pascu' Codlea","Liceu","40250","CODLEA","BV"
"0861100604","Școala Profesională Specială Codlea","Liceu tehnologic / Școală profesională","40250","CODLEA","BV"
"0861102719","Centrul Școlar pentru Educație Incluzivă Făgăraș","Centru de Educație Incluzivă","40287","FĂGĂRAŞ","BV"
"0861101103","Colegiul 'Aurel Vijoli' Făgăraș","Colegiu","40287","FĂGĂRAŞ","BV"
"0861101261","Colegiul Național 'Doamna Stanca' Făgăraș","Colegiu","40287","FĂGĂRAŞ","BV"
"0861100726","Colegiul Național 'Radu Negru' Făgăraș","Colegiu","40287","FĂGĂRAŞ","BV"
"0861100527","Liceul Tehnologic 'Dr. Ioan Șenchea' Făgăraș","Colegiu","40287","FĂGĂRAŞ","BV"
"0861101044","Liceul Teologic Ortodox 'Sf. Constantin Brâncoveanu' Făgăraș","Liceu","40287","FĂGĂRAŞ","BV"
"0861100613","Liceul 'Petru Rareș' Feldioara","Liceu","40964","FELDIOARA","BV"
"0861101591","Liceul Teoretic 'Mihail Săulescu' Predeal","Liceu","40312","PREDEAL","BV"
"0861100893","Colegiul pentru Agricultură și Industrie Alimentară 'Țara Bârsei' Prejmer","Colegiu","41676","PREJMER","BV"
"0861100821","Liceul Tehnologic Râșnov","Liceu tehnologic / Școală profesională","40376","RÂŞNOV","BV"
"0861101632","Liceul 'Șt.O.Iosif' Rupea","Liceu tehnologic / Școală profesională","40401","RUPEA","BV"
